batter,team,runs,balls,num_innings,PPI,MDI,DFI,HOI,CCI,ERI,TBI,PVA,ORI,SAI,recent_form,RCI,BHI,DAI,BER,WR,partners,MIQ,score,rank
B Sai Sudharsan,RCB,715.0,523.0,26.0,-0.21748447976160912,0.09424921804479713,-0.003481609608041558,0.1835564053537285,-0.20832838444544743,-0.7459127018363177,0.0,1.346153846153846,-0.17358666065589645,0.0,0.18667415995909376,0.319956191985302,-0.09337749283624641,-0.08619408280372676,-0.20773454627565435,4.19,-0.5769230769230771,5.508600699254254,9.516167485605004,54
RG Sharma,PBKS,723.0,496.0,30.0,0.031226719642413636,-0.18322221438180453,0.11086429480574589,0.2782258064516129,0.0,-0.20547559585077438,0.0,1.4166666666666665,0.8611104116832422,0.0,-0.34826204802191374,0.29043927482271575,0.07684533699877227,-0.09027740894988767,-0.117566844103,3.45,-0.9999999999999998,4.940248006093332,9.51082240585712,55
DJ Hooda,GT,457.0,314.0,19.0,0.0532362435910545,-0.11719767102347856,0.015429217932400041,0.1910828025477707,0.0,0.24501659449954186,0.0,1.1842105263157894,-0.016961465150686195,0.7394409761731868,0.2410130524176608,0.2967422192110232,0.024073896462110778,-0.06928330681627859,-0.11818562531505084,2.79,-0.9210526315789475,4.899310347487358,9.436875176753453,56
DA Miller,RR,346.0,237.0,18.0,-1.0,-0.028362216535275153,0.07576881492328957,0.17721518987341772,0.0,0.10049009073155857,0.0,1.1111111111111112,0.10997013999302041,0.0,-0.2840270938915054,0.21741927174402748,-0.10313888750089317,0.07778308628691644,-0.1040295093539163,3.0700000000000003,-0.8333333333333331,6.388016403321192,8.97488306736961,57
LS Livingstone,SRH,768.0,527.0,25.0,0.04256220758635432,0.04233599932825327,-0.12963209891508576,0.18216318785578747,-0.11640851784846551,-0.1346983121770641,0.0,1.5,0.2819327731092436,0.0,-0.2530256681528916,0.34429963506943795,0.013501493645903473,-0.01157612547274156,0.013308767863946969,3.99,-0.9999999999999998,4.12297879419942,8.887742136092099,58
Urvil Patel,DC,679.0,435.0,28.0,0.007314550832513422,0.03287545889317367,0.1146816978806795,0.20689655172413793,0.06782917457074755,-0.5873996032771251,0.0,1.3392857142857142,0.3171792099313606,0.0,-0.1584560730472966,0.2608742619282075,0.002327538637374893,0.1461054820521408,0.06879429752456234,3.16,-0.7142857142857145,4.303184035476718,8.567206583127195,59
RM Patidar,RR,720.0,490.0,33.0,-0.034599784786027654,-0.0024518756428826283,0.26955919406370943,0.23265306122448978,-0.10093475592484191,-0.6142285287507872,0.0,1.3636363636363635,-0.17509316591308455,-1.0,0.3910599529925527,0.26719067110419253,0.012171826963277566,0.023068784239126394,-0.14589722543249795,3.89,-0.9848484848484851,4.926827037409677,8.318113070334782,60
Dhruv Jurel,LSG,472.0,327.0,21.0,0.11906350881549543,-0.021855713521002462,-0.0864162150479102,0.07339449541284404,0.037205870565579335,-0.4009589103171627,0.0,1.3095238095238095,0.19393262609342976,1.3114371642393197,0.3585704588184855,0.2725053756695538,-0.16664281477970555,0.06427401558513202,0.04291363105055446,2.77,-1.9047619047619047,4.303798800771721,8.27598419811824,61
Sameer Rizvi,LSG,111.0,71.0,5.0,0.6578718649118449,-0.2938275395176019,0.10998335563460704,0.2535211267605634,0.0,0.9422258759166566,0.0,1.0,0.27318973188052986,0.0,0.5425427090753385,0.24245005939229375,0.22820416706269864,-0.09345184416989816,0.0,1.11,-1.5000000000000002,4.716021900941735,8.188731407888767,62
Sikandar Raza,DC,391.0,275.0,16.0,-0.22251526335168648,-0.11392095343989728,0.01310558127809247,0.15272727272727274,0.09613308040274315,-1.7725077891170982,0.0,1.875,-0.2040966041815473,0.5032079198452073,0.06393290859869771,0.2648398889525997,-0.02888129608837986,-0.04902885648690902,-0.022148701210417565,3.88,-1.40625,4.7002473840805,7.729844572009178,63
F du Plessis,CSK,857.0,678.0,31.0,-0.27369423061004894,0.1018147374655971,0.0688728609814735,0.12389380530973451,-0.2883230773063604,-1.764056954330542,0.0,1.3709677419354838,-0.8485233276493442,0.0,-0.9573780609342014,0.3476936236616733,-0.26045080943459187,-0.054288620489227335,-0.2876470745207824,4.16,-0.16129032258064502,6.234555317584755,7.512145609082975,64
KH Pandya,SRH,122.0,84.0,9.0,0.0,-0.15435480823729442,-0.1449017112148211,0.14285714285714285,0.0035021158616663772,0.6525676999570953,0.0,0.8333333333333333,-0.2057629870129869,0.0,-0.31658059100903335,0.1556902922890826,0.10300776015228963,-0.2032590855803048,0.0,1.22,-1.1111111111111112,6.487201108222241,7.462189158507298,65
RA Tripathi,PBKS,237.0,185.0,12.0,-0.28349445838292675,-0.09406343808384232,-0.21615990194691936,0.1945945945945946,0.0,-0.3649442601067885,0.0,1.25,-0.8017166133255742,0.0,-0.9313489614311271,0.2540863529391768,-0.05727031501133395,-0.21262249376258757,-0.4029457753943555,2.37,-0.625,6.328299913159573,6.40741464324789,66
FH Allen,MI,165.0,102.0,8.0,0.13220517603735749,-0.38925625039360157,0.0,0.4117647058823529,0.0,1.0113413337580022,0.0,1.5625,-0.6265747811510511,0.0,0.08278177544777487,0.21282679071937172,0.2823896450213472,-0.05940308714341547,-0.08345395272803602,1.6500000000000001,-1.875,4.054054054054054,6.366175409504157,67
