striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,pace_index
TH David,3341,1895,100,255,211,695,176.30606860158312,33.41,4.0665236051502145,36.675461741424805,1.6639365600605036
TM Head,2353,1411,62,297,89,538,166.7611622962438,37.95161290322581,3.655440414507772,38.128986534372785,1.6593725923201932
Tanush Kotian,69,53,0,7,2,22,130.18867924528303,69.0,5.888888888888889,41.509433962264154,0.8940928257390919
Tilak Varma,2101,1399,51,175,115,555,150.17869907076482,41.19607843137255,4.824137931034483,39.67119370979271,1.4599109742159433
UT Yadav,113,85,5,6,7,42,132.94117647058823,22.6,6.538461538461538,49.411764705882355,0.8264970699308833
Urvil Patel,536,347,20,53,21,121,154.46685878962535,26.8,4.6891891891891895,34.87031700288185,1.3974022468011702
V Kohli,3620,2397,84,371,119,829,151.02211097204838,43.095238095238095,4.891836734693878,34.58489778890279,1.5514138498752121
V Shankar,541,415,24,44,23,173,130.36144578313252,22.541666666666668,6.1940298507462686,41.68674698795181,0.9223563551642373
V Suryavanshi,132,69,5,9,13,39,191.30434782608697,26.4,3.1363636363636362,56.52173913043478,0.9708868770527334
VG Arora,42,51,6,1,1,28,82.3529411764706,7.0,25.5,54.90196078431372,0.6285937925846716
VR Iyer,1757,1216,49,189,67,487,144.49013157894737,35.857142857142854,4.75,40.04934210526316,1.2846152455454753
WG Jacks,2921,1775,95,312,143,691,164.56338028169014,30.74736842105263,3.901098901098901,38.929577464788736,1.6084940298907273
WL Madsen,849,622,33,94,20,219,136.4951768488746,25.727272727272727,5.456140350877193,35.20900321543408,1.0587485159586334
Washington Sundar,680,482,33,66,26,202,141.07883817427387,20.606060606060606,5.239130434782608,41.90871369294606,0.9901794285521178
YBK Jaiswal,2619,1632,78,330,113,717,160.47794117647058,33.57692307692308,3.6839729119638824,43.93382352941177,1.5772086687661626
