bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
DS Airee,tail,34,19,2,10.74,9.5,RCB
Mukesh Kumar,middle,195,107,2,10.93,53.5,
C Sakariya,tail,57,39,2,8.77,19.5,SRH
R Parag,middle,193,114,2,10.16,57.0,GT
JA Richardson,middle,42,24,2,10.5,12.0,
Abid Mushtaq,top,179,91,2,11.8,45.5,
KV Sharma,top,73,35,2,12.51,17.5,
JO Holder,middle,62,33,2,11.27,16.5,
Yash Dayal,middle,80,44,2,10.91,22.0,
AR Ramjani,top,46,29,2,9.52,14.5,PBKS
A Nagwaswalla,tail,23,25,2,5.52,12.5,RR
J Anderson,tail,53,21,2,15.14,10.5,
A Sheth,middle,46,43,2,6.42,21.5,DC
AA Kulkarni,middle,9,12,2,4.5,6.0,GT
TU Deshpande,top,175,99,2,10.61,49.5,MI
J Suchith,middle,39,25,2,9.36,12.5,
VG Arora,tail,1,9,2,0.67,4.5,KKR
JA Richardson,top,27,21,2,7.71,10.5,
JDS Neesham,middle,46,29,2,9.52,14.5,DC
LA Dawson,top,40,25,2,9.6,12.5,
M Jansen,middle,235,155,2,9.1,77.5,
V Puthur,middle,84,48,2,10.5,24.0,DC
JG Bethell,top,101,49,2,12.37,24.5,LSG
Abid Mushtaq,middle,72,53,2,8.15,26.5,
MA Wood,top,83,59,2,8.44,29.5,
MG Erasmus,middle,38,35,2,6.51,17.5,RCB
MJ Suthar,top,63,41,2,9.22,20.5,
MP Stoinis,top,287,187,2,9.21,93.5,KKR
MP Stoinis,tail,40,24,2,10.0,12.0,KKR
KA Pollard,top,82,42,2,11.71,21.0,CSK
MM Sharma,top,100,55,2,10.91,27.5,
KC Cariappa,middle,42,32,2,7.88,16.0,MI
Abrar Ahmed,middle,26,19,2,8.21,9.5,GT
AJ Turner,middle,85,46,2,11.09,23.0,
Yudhvir Singh,middle,81,47,2,10.34,23.5,RCB
KR Sen,top,135,85,2,9.53,42.5,LSG
MG Erasmus,top,34,32,2,6.38,16.0,RCB
MJ Owen,top,150,56,2,16.07,28.0,DC
Yash Dayal,top,166,93,2,10.71,46.5,
A Badoni,top,28,16,1,10.5,16.0,
RD Chahar,middle,223,136,1,9.84,136.0,CSK
V Puthur,tail,23,14,1,9.86,14.0,DC
A Mishra,tail,15,10,1,9.0,10.0,
AJ Hosein,tail,17,15,1,6.8,15.0,
Yuvraj Chaudhary,middle,39,25,1,9.36,25.0,GT
Z Khan,middle,90,57,1,9.47,57.0,
RS Hangargekar,tail,7,7,1,6.0,7.0,MI
VR Iyer,top,107,52,1,12.35,52.0,SRH
D Brevis,middle,62,48,1,7.75,48.0,RR
RA Bawa,middle,103,53,1,11.66,53.0,SRH
AA Kulkarni,top,9,12,1,4.5,12.0,GT
Sanvir Singh,middle,36,22,1,9.82,22.0,LSG
AJ Turner,tail,4,2,1,12.0,2.0,
CH Gayle,tail,2,11,1,1.09,11.0,CSK
BA Stokes,tail,16,13,1,7.38,13.0,SRH
Shaheen Shah Afridi,top,26,19,1,8.21,19.0,MI
Akash Vasisht,tail,8,9,1,5.33,9.0,DC
Akash Madhwal,top,54,34,1,9.53,34.0,CSK
SN Thakur,top,94,47,1,12.0,47.0,GT
SN Thakur,tail,15,5,1,18.0,5.0,GT
Shivank Vashisth,middle,54,34,1,9.53,34.0,RCB
Akash Deep,middle,133,73,1,10.93,73.0,
Sumit Kumar,top,69,30,1,13.8,30.0,DC
Abrar Ahmed,tail,13,9,1,8.67,9.0,GT
AS Roy,middle,232,122,1,11.41,122.0,
Bal Krishna,top,42,34,1,7.41,34.0,
T Stubbs,top,31,18,1,10.33,18.0,CSK
Baltej Singh,middle,42,32,1,7.88,32.0,
AR Ramjani,tail,24,16,1,9.0,16.0,PBKS
Bilal Zalmai,tail,13,7,1,11.14,7.0,
Bilal Zalmai,top,183,107,1,10.26,107.0,
AJ Tye,tail,11,10,1,6.6,10.0,
Umran Malik,tail,28,19,1,8.84,19.0,
Umran Malik,top,54,34,1,9.53,34.0,
Sanvir Singh,top,8,8,1,6.0,8.0,LSG
Utkarsh Singh,middle,33,28,1,7.07,28.0,PBKS
V Kaverappa,middle,37,19,1,11.68,19.0,PBKS
Ashutosh Aman,middle,49,28,1,10.5,28.0,
A Badoni,middle,43,25,1,10.32,25.0,
JDS Neesham,top,87,61,1,8.56,61.0,DC
OEG Baartman,tail,14,12,1,7.0,12.0,
MW Short,middle,8,5,1,9.6,5.0,MI
MW Short,top,19,7,1,16.29,7.0,MI
DJ Bravo,top,48,35,1,8.23,35.0,RCB
HJ Manenti,top,12,6,1,12.0,6.0,PBKS
HJ Manenti,middle,22,12,1,11.0,12.0,PBKS
DJ Hooda,top,24,19,1,7.58,19.0,DC
Imran Tahir,tail,3,7,1,2.57,7.0,CSK
JO Holder,top,97,45,1,12.93,45.0,
Gurjapneet Singh,top,63,30,1,12.6,30.0,
J Overton,middle,58,28,1,12.43,28.0,
LH Ferguson,middle,98,52,1,11.31,52.0,
Gurjapneet Singh,middle,10,6,1,10.0,6.0,
JG Bethell,tail,29,21,1,8.29,21.0,LSG
N Sindhu,top,79,32,1,14.81,32.0,DC
M Jansen,tail,8,9,1,5.33,9.0,
JD Unadkat,middle,84,42,1,12.0,42.0,
GD Phillips,tail,22,12,1,11.0,12.0,GT
N Burger,top,27,13,1,12.46,13.0,
M Prasidh Krishna,tail,29,30,1,5.8,30.0,MI
DS Rathi,tail,25,21,1,7.14,21.0,KKR
Mohammed Shami,tail,32,16,1,12.0,16.0,GT
Kartik Tyagi,top,4,2,1,12.0,2.0,
DJ Bravo,tail,12,10,1,7.2,10.0,RCB
G Coetzee,tail,9,4,1,13.5,4.0,
K Gowtham,tail,13,13,1,6.0,13.0,
K Rabada,middle,102,57,1,10.74,57.0,
OEG Baartman,top,60,30,1,12.0,30.0,
Pulkit Narang,top,30,15,1,12.0,15.0,RR
MADI Hemantha,tail,8,9,1,5.33,9.0,
D Visser,top,33,20,1,9.9,20.0,
MP Stoinis,middle,220,117,1,11.28,117.0,KKR
K Gowtham,top,50,29,1,10.34,29.0,
KV Sharma,tail,6,4,1,9.0,4.0,
KA Pollard,middle,41,25,1,9.84,25.0,CSK
MJ Santner,tail,25,19,1,7.89,19.0,KKR
K Rabada,tail,7,6,1,7.0,6.0,
TU Deshpande,tail,50,30,0,10.0,inf,MI
MG Erasmus,tail,17,5,0,20.4,inf,RCB
MJ Henry,top,39,14,0,16.71,inf,
AM Rahane,top,14,6,0,14.0,inf,MI
Sumit Kumar,middle,17,6,0,17.0,inf,DC
J Overton,top,19,14,0,8.14,inf,
MJ Henry,middle,14,10,0,8.4,inf,
J Suchith,tail,1,1,0,6.0,inf,
TM Head,top,79,35,0,13.54,inf,GT
