bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
Shaheen Shah Afridi,PP,pace,88,60,3,25,8.8,20.0,MI
A Kamboj,Death,pace,72,42,3,12,10.29,14.0,GT
Abhishek Sharma,Death,spin,69,48,3,19,8.62,16.0,MI
Sandeep Sharma,Middle,spin,68,48,3,11,8.5,16.0,LSG
Sandeep Sharma,Middle,neutralish,105,66,3,9,9.55,22.0,LSG
M Prasidh Krishna,Middle,spin,215,138,3,31,9.35,46.0,MI
M Prasidh Krishna,PP,neutralish,114,60,3,19,11.4,20.0,MI
Sandeep Sharma,Death,spin,98,53,3,12,11.09,17.67,LSG
N Rana,Middle,spin,175,120,3,33,8.75,40.0,PBKS
Abhishek Sharma,Death,pace,40,24,3,6,10.0,8.0,MI
Zeeshan Ansari,Death,spin,34,24,3,5,8.5,8.0,SRH
JJ Bumrah,Middle,spin,192,150,3,35,7.68,50.0,DC
HJ Manenti,PP,pace,83,60,3,24,8.3,20.0,PBKS
