Match,Player,TI,Team,Runs,I.Runs,B.Impact,Bowl,I.Wkts,Bo.Impact,Rank
S04M088,V Suryavanshi,77.82,PBKS,64(34),65.16,77.82,,,0.0,972
S04M082,JJ Bumrah,77.78,MI,0(1),-1.0,-1.79,'3-52',3.83,79.57,973
S03M052,Tanush Kotian,77.76,SRH,27(18),27.06,27.16,'2-11',2.08,50.61,974
M024,DP Conway,77.76,GT,78(54),77.95,77.76,,,0.0,975
S05M017,Sikandar Raza,77.73,MI,33(18),37.04,38.1,'1-37',1.78,39.64,976
S02M047,SP Narine,77.67,LSG,41(33),40.2,38.47,'1-36',2.05,39.2,977
S04M042,N Pooran,77.55,MI,63(29),69.99,77.55,,,0.0,978
S04M021,B Sai Sudharsan,77.53,CSK,63(39),67.74,77.53,,,0.0,979
S04M080,D Wiese,77.51,GT,19(8),23.84,41.82,'2-26',1.59,35.7,980
S03M052,LS Livingstone,77.45,SRH,0(1),-0.62,-1.6,'2-32',3.39,79.04,981
S05M085,CV Varun,77.44,PBKS,,,0.0,'3-32',3.42,77.44,982
S03M055,WG Jacks,77.41,LSG,27(20),25.69,24.33,'1-24',2.41,53.08,983
S04M049,DAJ Bracewell,77.4,RCB,43(14),54.51,76.27,'0-38',0.0,1.12,984
S02M048,TM Head,77.38,CSK,67(49),71.99,77.38,,,0.0,985
S02M037,PD Salt,77.33,RCB,46(19),59.65,77.33,,,0.0,986
S04M094,N Rana,77.33,PBKS,71(48),73.71,77.33,,,0.0,987
S04M045,Smaran Ravichandran,77.33,PBKS,53(27),60.81,77.33,,,0.0,988
S03M050,R Parag,77.28,GT,62(37),66.94,77.28,,,0.0,989
M011,N Pooran,77.26,MI,71(49),73.93,77.26,,,0.0,990
S03M059,SV Samson,77.18,GT,71(49),73.66,77.18,,,0.0,991
S04M064,Rahul Singh,77.17,RCB,43(19),59.95,77.17,,,0.0,992
S05M026,R Shepherd,77.15,GT,11(4),17.38,19.34,'2-21',2.8,57.81,993
M023,CV Varun,77.12,PBKS,,,0.0,'2-38',3.74,77.12,994
M029,N Rana,77.11,KKR,45(18),56.86,77.11,,,0.0,995
S03M073,YS Chahal,77.02,RCB,1(1),-0.25,-1.38,'2-38',3.74,78.41,996
S04M088,Tilak Varma,77.0,CSK,81(56),79.12,77.0,,,0.0,997
S04M059,Mohammad Nabi,76.99,LSG,,,0.0,'2-35',3.68,76.99,998
S04M064,DJ Bravo,76.96,RCB,0(1),-0.9,-1.82,'3-42',3.61,78.78,999
S05M042,RM Patidar,76.94,KKR,55(38),65.88,76.94,,,0.0,1000
S05M033,HJ Manenti,76.94,PBKS,0(2),-1.04,-1.75,'2-27',3.46,78.69,1001
M013,Q de Kock,76.87,PBKS,51(27),65.8,76.87,,,0.0,1002
S02M058,M Theekshana,76.85,MI,,,0.0,'3-41',3.43,76.85,1003
S04M081,DS Airee,76.83,RCB,,,0.0,'2-43',4.04,76.83,1004
S04M027,Suryansh Shedge,76.82,CSK,6(9),3.95,2.38,'2-38',3.39,74.44,1005
S04M084,Mohammad Ghazanfar,76.73,SRH,,,0.0,'2-22',3.42,76.73,1006
S03M054,Anmolpreet Singh,76.69,CSK,68(50),72.53,76.69,,,0.0,1007
S05M004,YS Chahal,76.68,RCB,,,0.0,'2-32',3.83,76.68,1008
S02M056,JP Inglis,76.64,GT,69(43),69.22,76.64,,,0.0,1009
S02M020,GD Phillips,76.64,RR,0(2),-0.53,-1.73,'2-14',2.95,78.36,1010
S05M040,S Dube,76.64,RR,39(22),40.31,45.84,'2-29',1.47,30.8,1011
S05M065,Yuvraj Singh,76.61,CSK,,,0.0,'3-39',3.68,76.61,1012
S02M051,A Zampa,76.61,SRH,,,0.0,'3-29',3.71,76.61,1013
S05M067,JN Loftie-Eaton,76.59,RR,37(25),42.42,46.2,'1-15',1.49,30.39,1014
M010,SV Samson,76.58,GT,68(45),71.24,76.58,,,0.0,1015
S03M002,AR Patel,76.58,CSK,37(20),39.9,46.08,'1-15',1.34,30.5,1016
S04M002,MJ Owen,76.57,DC,56(27),64.12,76.57,,,0.0,1017
M008,Shahbaz Ahmed,76.54,LSG,3(4),1.49,0.4,'3-38',3.54,76.13,1018
S03M048,Akash Vasisht,76.53,MI,18(11),18.78,19.84,'2-23',1.77,56.69,1019
S04M085,Shubman Gill,76.46,LSG,55(26),65.29,76.46,,,0.0,1020
S03M024,HV Patel,76.45,PBKS,25(14),31.7,44.09,'1-18',1.73,32.36,1021
S04M061,HH Pandya,76.4,MI,30(14),35.78,49.17,'1-26',1.35,27.23,1022
S03M013,M Prasidh Krishna,76.39,DC,,,0.0,'3-49',3.47,76.39,1023
S05M014,PWH de Silva,76.35,RCB,18(8),28.99,33.35,'2-34',2.17,42.99,1024
S03M061,Shubman Gill,76.34,LSG,58(38),64.87,76.34,,,0.0,1025
M072,Shubman Gill,76.33,LSG,56(45),65.09,76.33,,,0.0,1026
M059,HH Pandya,76.32,MI,8(3),13.55,15.85,'3-33',3.19,60.47,1027
S04M002,YS Chahal,76.3,RCB,0(1),-1.03,-1.76,'3-40',3.52,78.06,1028
S04M004,Smaran Ravichandran,76.27,PBKS,61(31),64.11,76.27,,,0.0,1029
M024,Naman Dhir,76.27,GT,47(18),53.59,76.27,,,0.0,1030
S03M029,PD Salt,76.25,RCB,68(39),72.1,76.25,,,0.0,1031
S04M094,Chirag Jani,76.23,PBKS,24(11),26.78,30.5,'1-31',2.39,45.73,1032
S03M002,TM Head,76.2,CSK,63(37),67.22,76.2,,,0.0,1033
S02M070,DS Rathi,76.17,KKR,,,0.0,'2-48',3.57,76.17,1034
M009,C Green,76.12,RCB,35(26),33.48,32.06,'1-34',2.23,44.06,1035
S04M075,R Shepherd,76.05,GT,,,0.0,'2-40',3.68,76.05,1036
S02M044,TA Boult,76.02,MI,,,0.0,'3-19',3.31,76.02,1037
S04M038,GJ Maxwell,76.01,RR,35(26),50.54,59.28,'1-37',1.0,16.74,1038
S03M015,Q de Kock,75.97,PBKS,70(45),71.67,75.97,,,0.0,1039
S02M048,T Stubbs,75.96,CSK,61(37),68.2,75.96,,,0.0,1040
S04M037,Swapnil Singh,75.92,GT,7(4),7.14,7.31,'2-42',3.36,68.61,1041
S02M021,Mujeeb Ur Rahman,75.9,RCB,,,0.0,'3-17',2.83,75.9,1042
S04M092,S Dube,75.83,RR,67(32),72.28,81.7,'0-34',0.0,-5.87,1043
S04M091,Chirag Jani,75.82,PBKS,25(14),25.33,27.72,'1-18',1.98,48.1,1044
M045,JC Archer,75.78,GT,11(9),10.86,10.53,'2-24',2.83,65.25,1045
S05M059,Priyansh Arya,75.78,SRH,64(36),67.59,75.78,,,0.0,1046
S04M038,CV Varun,75.76,PBKS,,,0.0,'4-19',3.43,75.76,1047
M018,M Pathirana,75.71,RCB,7(4),7.73,7.97,'3-25',3.09,67.74,1048
S03M050,KA Pollard,75.67,CSK,57(30),65.1,75.67,,,0.0,1049
S03M023,AM Rahane,75.6,KKR,70(48),71.6,75.6,,,0.0,1050
S02M068,P Simran Singh,75.58,SRH,67(37),72.05,75.58,,,0.0,1051
S04M031,Bilal Zalmai,75.54,MI,26(12),31.65,35.67,'1-30',1.99,39.86,1052
M074,MP Stoinis,75.52,PBKS,53(39),63.87,75.52,,,0.0,1053
S02M047,SS Iyer,75.52,LSG,58(29),63.55,75.52,,,0.0,1054
S02M021,RD Gaikwad,75.5,RCB,63(40),65.24,75.5,,,0.0,1055
S05M042,R Ashwin,75.49,KKR,,,0.0,'3-10',2.98,75.49,1056
S03M016,A Zampa,75.47,SRH,,,0.0,'3-28',3.28,75.47,1057
M021,T Natarajan,75.47,CSK,,,0.0,'3-24',3.52,75.47,1058
S04M091,D Wiese,75.47,GT,51(22),62.41,80.17,'0-34',0.0,-4.7,1059
S05M008,JC Archer,75.46,LSG,4(5),2.23,0.73,'4-33',3.51,74.73,1060
S03M061,MP Stoinis,75.4,PBKS,73(48),74.36,75.4,,,0.0,1061
S05M071,GJ Maxwell,75.3,RR,59(28),65.72,75.3,,,0.0,1062
S03M064,MA Starc,75.22,KKR,,,0.0,'4-29',3.58,75.22,1063
S02M073,RD Rickelton,75.2,RR,67(40),72.21,75.2,,,0.0,1064
S04M052,R Shepherd,75.19,GT,22(18),21.59,20.74,'2-27',2.57,54.45,1065
S03M047,HC Brook,75.11,PBKS,67(39),76.03,75.11,,,0.0,1066
S03M064,Ishan Kishan,75.1,KKR,55(29),60.24,75.1,,,0.0,1067
S04M059,DS Rathi,75.02,KKR,,,0.0,'2-31',3.4,75.02,1068
S03M011,SP Narine,75.0,LSG,41(25),39.39,38.54,'1-35',1.72,36.47,1069
S05M046,KA Maharaj,74.94,SRH,,,0.0,'3-52',3.5,74.94,1070
S04M094,JR Hazlewood,74.88,RR,1(1),0.01,-1.41,'1-22',2.45,76.28,1071
S02M016,RD Gaikwad,74.88,RCB,57(34),67.89,74.88,,,0.0,1072
S04M027,CH Gayle,74.85,CSK,42(18),60.64,74.85,,,0.0,1073
S03M034,GJ Maxwell,74.83,RR,87(55),77.71,80.56,'0-48',0.0,-5.73,1074
S05M054,Noor Ahmad,74.81,MI,,,0.0,'1-33',3.56,74.81,1075
S05M001,MP Yadav,74.77,PBKS,,,0.0,'1-52',3.79,74.77,1076
M011,S Dube,74.75,RR,66(43),71.23,79.44,'0-48',0.0,-4.69,1077
M072,AK Markram,74.72,SRH,50(32),51.12,53.44,'1-8',0.82,21.28,1078
S03M046,LS Livingstone,74.62,SRH,9(11),6.44,4.28,'2-6',2.64,70.34,1079
S03M055,Shubman Gill,74.61,LSG,57(31),65.63,74.61,,,0.0,1080
S04M063,Abdul Samad,74.6,LSG,7(13),4.93,1.67,'1-2',2.46,72.93,1081
S03M036,A Zampa,74.6,SRH,0(2),-1.13,-1.73,'2-41',3.48,76.33,1082
M068,MA Starc,74.58,KKR,,,0.0,'3-29',3.46,74.58,1083
S02M014,M Jansen,74.57,GT,7(4),7.43,7.79,'2-46',3.35,66.78,1084
S05M040,JR Hazlewood,74.52,RR,,,0.0,'3-38',3.76,74.52,1085
S04M087,MJ Santner,74.48,KKR,4(3),3.28,1.64,'2-37',3.41,72.85,1086
S04M057,MP Yadav,74.48,PBKS,,,0.0,'2-45',3.46,74.48,1087
S02M023,SV Samson,74.47,GT,82(58),77.09,74.47,,,0.0,1088
S02M009,SP Narine,74.37,LSG,45(26),52.03,56.5,'1-35',0.93,17.88,1089
S04M068,Abdul Samad,74.34,LSG,38(11),52.99,79.17,'0-6',0.0,-4.83,1090
S04M087,SP Narine,74.27,KKR,54(37),56.45,62.02,'1-28',0.83,12.24,1091
S04M053,JM Sharma,74.25,RCB,53(31),59.97,74.25,,,0.0,1092
M021,PD Salt,74.23,RCB,52(30),69.49,74.23,,,0.0,1093
S05M055,Ravi Teja,74.19,RCB,,,0.0,'3-14',2.87,74.19,1094
S04M050,PHKD Mendis,74.16,SRH,55(32),63.78,74.16,,,0.0,1095
S05M003,AR Patel,74.13,CSK,11(16),9.33,5.62,'2-27',3.33,68.51,1096
S03M033,HH Pandya,74.13,MI,42(25),49.57,50.87,'1-50',1.42,23.27,1097
S05M084,JM Sharma,74.1,RCB,75(43),74.45,74.1,,,0.0,1098
S04M086,RD Gaikwad,74.06,GT,70(36),71.37,74.06,,,0.0,1099
S05M025,MG Erasmus,74.0,RCB,39(32),40.54,41.84,'1-28',1.83,32.17,1100
S04M036,PHKD Mendis,73.98,SRH,32(13),39.8,45.21,'1-46',1.51,28.77,1101
M066,Nithish Kumar Reddy,73.91,GT,16(10),16.99,16.77,'1-9',2.0,57.14,1102
S04M045,LS Livingstone,73.85,RCB,19(18),18.59,17.46,'2-9',2.18,56.39,1103
M020,Abdul Samad,73.83,LSG,38(14),50.78,73.83,,,0.0,1104
S04M068,JC Buttler,73.79,LSG,54(28),61.21,73.79,,,0.0,1105
S05M073,HH Pandya,73.75,MI,37(18),41.6,45.33,'1-35',1.44,28.42,1106
M055,PJ Cummins,73.72,MI,37(21),40.58,44.71,'1-31',1.42,29.01,1107
S05M062,KA Pollard,73.71,CSK,64(36),66.79,73.71,,,0.0,1108
M022,Mohammed Siraj,73.7,MI,,,0.0,'3-22',3.29,73.7,1109
M029,AM Rahane,73.66,KKR,65(47),68.2,73.66,,,0.0,1110
S05M046,MP Stoinis,73.64,KKR,68(46),71.15,73.64,,,0.0,1111
S04M012,RD Rickelton,73.64,LSG,55(26),60.44,73.64,,,0.0,1112
S04M034,Aniket Verma,73.58,RR,52(21),61.0,73.58,,,0.0,1113
S04M089,Mohammad Nabi,73.55,LSG,19(13),17.46,17.48,'2-44',2.75,56.07,1114
S03M019,R Sai Kishore,73.54,GT,17(9),17.47,18.47,'2-28',2.34,55.07,1115
S05M016,JC Buttler,73.5,LSG,67(39),68.55,73.5,,,0.0,1116
S02M042,Shubman Gill,73.47,LSG,66(43),67.99,73.47,,,0.0,1117
S05M031,Atharva Taide,73.44,MI,53(31),70.14,73.44,,,0.0,1118
M045,J Anderson,73.44,MI,,,0.0,'4-31',3.63,73.44,1119
M040,KL Rahul,73.43,SRH,73(51),73.11,73.43,,,0.0,1120
S05M002,SV Samson,73.43,GT,49(18),66.58,73.43,,,0.0,1121
M065,A Nortje,73.39,LSG,,,0.0,'2-40',3.79,73.39,1122
S05M083,B Sai Sudharsan,73.36,CSK,61(35),67.06,73.36,,,0.0,1123
S03M034,RD Rickelton,73.35,RR,74(39),73.06,73.35,,,0.0,1124
S02M023,N Pooran,73.3,MI,68(40),71.19,73.3,,,0.0,1125
S02M035,Dhruv Jurel,73.29,LSG,52(30),61.86,73.29,,,0.0,1126
S02M059,Mayank Dagar,73.26,RR,0(1),-1.22,-1.68,'2-32',3.39,74.95,1127
S04M033,RD Rickelton,73.21,LSG,82(51),72.35,73.21,,,0.0,1128
S02M050,B Kumar,73.16,KKR,,,0.0,'2-45',3.57,73.16,1129
S05M022,S Dube,73.1,RR,78(57),76.38,73.1,,,0.0,1130
S02M041,Q de Kock,73.1,PBKS,57(31),59.52,73.1,,,0.0,1131
S03M030,FH Allen,72.96,LSG,68(41),68.15,72.96,,,0.0,1132
S04M047,S Lamichhane,72.9,DC,,,0.0,'3-44',3.71,72.9,1133
M019,Naman Dhir,72.89,GT,63(36),68.14,72.89,,,0.0,1134
M055,JR Hazlewood,72.85,RR,,,0.0,'3-41',3.63,72.85,1135
S04M030,Harsh Dubey,72.85,RR,,,0.0,'2-33',3.4,72.85,1136
S05M011,Shahbaz Ahmed,72.82,GT,,,0.0,'2-46',3.53,72.82,1137
S05M085,FH Allen,72.82,PBKS,57(31),65.28,72.82,,,0.0,1138
S05M082,D Wiese,72.81,GT,24(11),26.65,33.79,'1-23',1.42,39.02,1139
S05M034,Tarang Gohel,72.78,DC,35(16),35.0,72.78,,,0.0,1140
S02M037,LH Ferguson,72.77,GT,,,0.0,'2-47',3.97,72.77,1141
M057,SM Curran,72.76,KKR,39(36),37.68,35.74,'1-23',1.18,37.02,1142
S04M044,Swapnil Singh,72.75,GT,,,0.0,'2-65',3.35,72.75,1143
S02M019,JC Buttler,72.75,KKR,65(44),67.37,72.75,,,0.0,1144
S02M028,MG Bracewell,72.74,DC,22(5),31.96,48.14,'1-52',1.41,24.6,1145
S04M069,R Shepherd,72.73,GT,,,0.0,'2-37',3.26,72.73,1146
S02M051,KL Rahul,72.71,SRH,47(23),56.98,72.71,,,0.0,1147
S05M019,Priyansh Arya,72.7,SRH,61(39),69.28,72.7,,,0.0,1148
S04M074,N Sindhu,72.64,DC,47(18),49.94,72.64,,,0.0,1149
S05M083,WL Madsen,72.61,MI,65(39),68.63,72.61,,,0.0,1150
M042,HH Pandya,72.61,MI,26(17),27.06,28.15,'1-21',1.95,44.46,1151
S03M027,R Shepherd,72.6,GT,,,0.0,'3-28',3.32,72.6,1152
S05M083,Tanush Kotian,72.57,CSK,10(2),18.06,26.43,'2-43',2.35,46.14,1153
S03M015,V Suryavanshi,72.56,PBKS,57(30),61.35,72.56,,,0.0,1154
S04M009,C Green,72.55,KKR,26(14),28.57,32.63,'1-10',1.68,39.92,1155
M007,PJ Cummins,72.51,MI,17(15),17.26,17.75,'2-20',2.55,54.76,1156
S04M036,KL Rahul,72.5,SRH,62(37),68.2,72.5,,,0.0,1157
S04M066,Naman Dhir,72.45,GT,62(37),70.05,72.45,,,0.0,1158
S03M042,N Wadhera,72.44,RR,61(39),66.87,72.44,,,0.0,1159
S03M068,AJ Tye,72.4,DC,7(5),6.27,5.26,'2-37',3.01,67.14,1160
S03M068,AJ Tye,72.4,DC,7(5),6.27,5.26,'2-37',3.01,67.14,1161
S03M068,AJ Tye,72.4,DC,7(5),6.27,5.26,'2-37',3.01,67.14,1162
S05M062,AD Russell,72.4,DC,48(19),58.16,72.47,'0-36',0.0,-0.08,1163
S03M018,N Sindhu,72.37,DC,70(48),70.41,72.37,,,0.0,1164
M031,Washington Sundar,72.37,PBKS,7(13),6.7,5.89,'4-30',3.88,66.47,1165
M072,P Simran Singh,72.36,SRH,44(18),53.24,72.36,,,0.0,1166
S02M003,RR Rossouw,72.34,MI,61(38),64.53,72.34,,,0.0,1167
S03M067,B Sai Sudharsan,72.33,RCB,63(44),68.19,72.33,,,0.0,1168
S03M046,Naman Dhir,72.32,GT,44(16),53.51,72.32,,,0.0,1169
S04M053,DS Airee,72.31,RCB,44(26),48.77,58.53,'1-47',0.91,13.79,1170
S03M048,WG Jacks,72.26,LSG,8(13),5.96,2.77,'3-25',3.01,69.49,1171
M045,M Theekshana,72.26,MI,,,0.0,'2-36',3.71,72.26,1172
S02M015,RD Rickelton,72.25,RR,45(26),46.78,72.25,,,0.0,1173
S04M066,S Dube,72.23,RR,49(31),50.47,52.98,'1-31',1.12,19.25,1174
S03M059,RM Patidar,72.23,RR,64(43),65.93,72.23,,,0.0,1175
S05M019,TP Ura,72.2,PBKS,52(27),60.48,72.2,,,0.0,1176
S05M073,N Sindhu,72.2,DC,52(21),62.79,72.2,,,0.0,1177
S04M002,Khrievitso Kense,72.17,RCB,1(1),-0.36,-1.32,'1-14',2.26,73.49,1178
S02M027,T Stubbs,72.15,CSK,62(35),67.03,72.15,,,0.0,1179
S05M014,V Suryavanshi,72.15,PBKS,49(27),60.35,72.15,,,0.0,1180
M041,V Kohli,72.15,DC,61(42),64.18,72.15,,,0.0,1181
S02M054,Mustafizur Rahman,72.14,DC,,,0.0,'2-36',3.3,72.14,1182
S05M002,MJ Owen,72.14,DC,13(10),10.95,8.93,'3-23',2.76,63.21,1183
S02M017,Sikandar Raza,72.12,DC,23(22),22.11,20.55,'1-28',2.17,51.57,1184
S03M028,HV Patel,72.1,PBKS,2(6),0.04,-1.1,'2-48',3.58,73.2,1185
S03M039,SV Samson,72.09,GT,58(34),64.94,72.09,,,0.0,1186
S05M018,Shashank Singh,72.08,PBKS,35(23),34.36,33.51,'1-31',1.95,38.57,1187
S05M074,N Rana,72.01,PBKS,58(31),65.57,72.01,,,0.0,1188
S04M062,N Sindhu,71.99,DC,52(23),52.94,71.99,,,0.0,1189
S05M085,Shashank Singh,71.96,PBKS,20(14),18.09,16.35,'2-37',2.68,55.61,1190
S04M039,Shubman Gill,71.92,LSG,75(47),74.38,71.92,,,0.0,1191
S03M003,RA Jadeja,71.92,DC,17(7),21.34,23.6,'2-34',2.39,48.31,1192
S04M024,AB de Villiers,71.91,RR,64(36),65.45,71.91,,,0.0,1193
S02M059,SV Samson,71.88,GT,60(36),65.1,71.88,,,0.0,1194
S05M054,NT Ellis,71.88,SRH,,,0.0,'2-38',3.42,71.88,1195
S04M022,V Kohli,71.86,DC,46(15),51.81,71.86,,,0.0,1196
S04M088,Smaran Ravichandran,71.86,PBKS,52(21),53.66,71.86,,,0.0,1197
M026,R Ashwin,71.85,KKR,25(28),22.55,20.31,'1-23',2.25,51.54,1198
S04M070,V Suryavanshi,71.79,PBKS,47(19),52.05,71.79,,,0.0,1199
S03M053,JJ Bumrah,71.78,MI,,,0.0,'1-1',1.22,71.78,1200
M017,Washington Sundar,71.75,PBKS,,,0.0,'3-39',3.47,71.75,1201
S05M012,BJ McMullen,71.75,RR,56(24),59.94,78.17,'0-17',0.0,-6.42,1202
S04M017,SA Abbott,71.71,DC,,,0.0,'2-38',3.55,71.71,1203
S05M037,WG Jacks,71.71,LSG,30(20),32.02,35.34,'1-34',1.94,36.37,1204
S05M051,D Wiese,71.69,GT,28(10),37.04,53.33,'1-30',1.17,18.36,1205
S04M012,S Lamichhane,71.68,DC,,,0.0,'3-19',3.02,71.68,1206
S03M040,YS Chahal,71.68,RCB,0(1),-0.53,-1.8,'3-32',3.21,73.48,1207
S04M061,TA Boult,71.58,MI,4(1),6.58,12.57,'2-34',3.51,59.01,1208
S05M027,MW Short,71.56,MI,63(34),67.59,71.56,,,0.0,1209
S03M041,Priyansh Arya,71.51,SRH,66(45),66.76,71.51,,,0.0,1210
S05M085,TP Ura,71.45,PBKS,54(26),63.13,71.45,,,0.0,1211
M040,Kuldeep Yadav,71.42,SRH,,,0.0,'2-30',3.26,71.42,1212
S03M039,SS Iyer,71.37,LSG,66(40),68.07,71.37,,,0.0,1213
S02M017,Q de Kock,71.36,PBKS,65(48),67.92,71.36,,,0.0,1214
S04M094,SL Malinga,71.34,PBKS,26(11),28.83,32.61,'1-51',2.35,38.72,1215
S05M012,S Dube,71.3,RR,40(16),42.42,53.61,'1-28',1.09,17.69,1216
S02M045,AK Markram,71.29,SRH,27(25),23.63,20.84,'2-38',2.47,50.44,1217
S03M026,Suryansh Shedge,71.28,CSK,,,0.0,'2-34',2.98,71.28,1218
S05M002,Tarang Gohel,71.25,DC,61(32),66.15,71.25,,,0.0,1219
S05M007,H Klaasen,71.24,CSK,53(30),62.42,71.24,,,0.0,1220
S03M028,Abhishek Sharma,71.22,MI,35(19),46.79,71.22,,,0.0,1221
S02M073,Sandeep Sharma,71.22,RR,,,0.0,'2-33',3.1,71.22,1222
S05M078,Abishek Porel,71.16,DC,53(25),65.05,71.16,,,0.0,1223
S04M083,LI Meriwala,71.16,DC,1(2),-0.23,-0.89,'3-33',3.34,72.05,1224
S04M036,VR Iyer,71.1,SRH,77(58),73.52,71.1,,,0.0,1225
S04M079,RR Rossouw,71.04,SRH,63(33),66.77,71.04,,,0.0,1226
S04M062,Urvil Patel,71.03,DC,66(47),66.24,71.03,,,0.0,1227
S03M020,Shashank Singh,71.01,PBKS,46(31),49.54,54.56,'1-25',0.89,16.45,1228
S03M020,Shashank Singh,71.01,PBKS,46(31),49.54,54.56,'1-25',0.89,16.45,1229
S03M020,Shashank Singh,71.01,PBKS,46(31),49.54,54.56,'1-25',0.89,16.45,1230
S03M029,YBK Jaiswal,71.0,RR,65(34),68.4,71.0,,,0.0,1231
S03M054,BM Duckett,70.98,CSK,50(27),60.95,70.98,,,0.0,1232
S02M015,GJ Maxwell,70.93,RR,20(11),21.25,39.21,'1-14',1.43,31.72,1233
S03M024,Rashid Khan,70.88,GT,11(11),10.94,10.19,'3-24',2.97,60.69,1234
S02M003,N Pooran,70.83,MI,46(20),53.73,70.83,,,0.0,1235
M017,Shashank Singh,70.83,PBKS,56(25),62.14,70.83,,,0.0,1236
S04M067,Ishaan Gadekar,70.83,RCB,57(28),63.14,70.83,,,0.0,1237
S05M068,Mohammad Ghazanfar,70.82,SRH,,,0.0,'4-35',3.41,70.82,1238
S03M069,Shubman Gill,70.82,LSG,73(50),72.81,70.82,,,0.0,1239
M020,Shahbaz Ahmed,70.8,LSG,,,0.0,'2-36',3.5,70.8,1240
S04M016,KL Rahul,70.79,SRH,41(23),55.07,70.79,,,0.0,1241
S02M007,A Nortje,70.73,RCB,,,0.0,'2-24',3.19,70.73,1242
S05M060,GF Linde,70.73,GT,23(13),22.52,21.66,'1-32',2.38,49.08,1243
M053,RM Patidar,70.72,CSK,43(17),59.42,70.72,,,0.0,1244
S04M066,JP Inglis,70.71,GT,63(38),68.94,70.71,,,0.0,1245
S05M055,Yuvraj Singh,70.71,CSK,14(8),17.53,19.16,'2-42',2.66,51.55,1246
S04M047,AK Markram,70.66,DC,22(13),22.23,24.64,'2-31',2.12,46.03,1247
S02M052,B Sai Sudharsan,70.54,RCB,69(44),69.43,70.54,,,0.0,1248
S04M060,RA Jadeja,70.49,RCB,18(7),19.86,22.85,'1-29',2.37,47.64,1249
S05M027,SL Malinga,70.44,PBKS,,,0.0,'2-49',3.37,70.44,1250
S04M003,Tanush Kotian,70.4,CSK,13(5),17.53,24.97,'1-9',1.82,45.43,1251
S04M022,Abishek Porel,70.39,DC,63(34),64.66,70.39,,,0.0,1252
S03M068,JJ Bumrah,70.38,MI,,,0.0,'3-28',3.35,70.38,1253
S03M068,JJ Bumrah,70.38,MI,,,0.0,'3-28',3.35,70.38,1254
S03M068,JJ Bumrah,70.38,MI,,,0.0,'3-28',3.35,70.38,1255
S02M051,AK Markram,70.38,SRH,12(5),14.52,18.51,'3-41',2.65,51.88,1256
M014,Avesh Khan,70.37,RCB,1(2),-1.26,-1.27,'2-39',3.22,71.64,1257
M006,B Kumar,70.35,KKR,,,0.0,'3-38',3.28,70.35,1258
S04M064,Smaran Ravichandran,70.35,PBKS,63(39),65.33,70.35,,,0.0,1259
M050,KK Ahmed,70.34,GT,13(7),16.56,19.32,'2-27',2.13,51.02,1260
S05M054,MR Marsh,70.32,SRH,72(45),72.78,73.94,'0-17',0.0,-3.62,1261
M013,Rasikh Salam,70.29,LSG,10(11),8.29,7.0,'3-24',2.93,63.3,1262
S05M067,Karan Lal,70.29,RR,1(1),-0.29,-1.2,'3-3',2.05,71.49,1263
S03M069,Priyansh Arya,70.22,SRH,57(38),62.69,70.22,,,0.0,1264
S03M035,Dhruv Jurel,70.2,LSG,64(39),65.58,70.2,,,0.0,1265
S04M023,Avesh Khan,70.19,GT,,,0.0,'1-50',3.74,70.19,1266
S03M033,R Parag,70.19,GT,34(10),46.98,70.19,,,0.0,1267
M027,H Klaasen,70.17,PBKS,74(52),71.76,70.17,,,0.0,1268
S03M019,RD Gaikwad,70.16,RCB,62(35),64.53,70.16,,,0.0,1269
S04M013,Abhishek Sharma,70.16,MI,46(22),61.55,70.16,,,0.0,1270
M054,KK Ahmed,70.14,GT,,,0.0,'2-21',2.46,70.14,1271
S03M071,JM Sharma,70.1,RCB,56(29),63.57,70.1,,,0.0,1272
S03M010,SA Yadav,70.07,DC,56(30),67.49,70.07,,,0.0,1273
S05M084,SS Iyer,70.0,LSG,58(29),63.69,70.0,,,0.0,1274
S05M029,BJ McMullen,69.98,RR,59(40),61.08,73.49,'0-28',0.0,-3.51,1275
S04M027,AD Russell,69.97,DC,12(6),14.67,22.5,'2-16',2.14,47.48,1276
S04M057,Smaran Ravichandran,69.96,PBKS,65(42),66.49,69.96,,,0.0,1277
M063,SA Yadav,69.91,DC,68(47),68.51,69.91,,,0.0,1278
S05M017,Fazalhaq Farooqi,69.89,CSK,,,0.0,'2-30',3.17,69.89,1279
S03M021,Tanush Kotian,69.87,SRH,,,0.0,'2-27',3.11,69.87,1280
S02M037,DP Conway,69.86,GT,53(34),54.27,69.86,,,0.0,1281
S05M027,Shaheen Shah Afridi,69.86,MI,,,0.0,'2-46',3.39,69.86,1282
S04M043,Shubman Gill,69.8,LSG,60(41),62.74,69.8,,,0.0,1283
S04M072,AB de Villiers,69.76,RR,68(51),68.27,69.76,,,0.0,1284
S05M063,KL Rahul,69.75,SRH,60(44),63.35,69.75,,,0.0,1285
S05M022,B Sai Sudharsan,69.74,CSK,62(39),66.87,69.74,,,0.0,1286
S04M003,Suryansh Shedge,69.73,CSK,8(10),6.6,4.31,'3-6',2.19,65.41,1287
S04M028,Shashank Singh,69.72,PBKS,9(8),9.39,9.78,'3-32',3.0,59.94,1288
S03M049,TU Deshpande,69.72,RR,,,0.0,'2-25',3.08,69.72,1289
