bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
AR Patel,GT,211,4,26,10.29,30.75,20.3,CSK
AR Patel,DC,91,4,25,7.58,18.0,12.0,CSK
Rashid Khan,LSG,100,4,31,7.14,21.0,14.0,MI
R Sai Kishore,SRH,114,4,15,9.5,18.0,12.0,MI
R Sai Kishore,RR,191,4,34,9.97,28.75,19.1,MI
R Sai Kishore,CSK,122,4,17,10.17,18.0,12.0,MI
JDS Neesham,DC,349,4,51,11.26,46.5,31.0,
Harpreet Brar,RR,228,4,25,10.36,33.0,22.0,GT
B Kumar,DC,126,4,20,10.5,18.0,12.0,KKR
I Sharma,GT,170,4,18,10.62,24.0,16.0,
B Kumar,SRH,145,4,32,9.06,24.0,16.0,KKR
BA Stokes,GT,153,4,23,10.2,22.5,15.0,RR
SA Abbott,DC,115,4,20,9.58,18.0,12.0,
Yuvraj Singh,DC,91,4,14,11.38,12.0,8.0,CSK
MM Ali,KKR,141,4,33,8.81,24.0,16.0,
CJ Jordan,GT,46,4,14,7.08,9.75,6.3,
HJ Manenti,KKR,27,4,6,9.0,4.5,3.0,CSK
MG Erasmus,RCB,191,4,47,8.3,34.5,23.0,
MG Bracewell,KKR,34,4,25,4.86,10.5,7.0,
Suyash Sharma,MI,257,4,46,9.18,42.0,28.0,KKR
V Nigam,LSG,73,4,11,9.12,12.0,8.0,GT
MA Starc,RCB,93,4,30,7.75,18.0,12.0,KKR
Swapnil Singh,CSK,161,4,15,10.73,22.5,15.0,CSK
WG Jacks,PBKS,45,4,16,7.94,8.5,5.4,LSG
WG Jacks,MI,102,4,9,11.33,13.5,9.0,LSG
SH Johnson,RCB,86,4,22,9.05,14.25,9.3,GT
HH Pandya,RR,152,4,25,10.25,22.25,14.5,MI
M Siddharth,GT,97,4,19,8.08,18.0,12.0,CSK
M Prasidh Krishna,RCB,102,4,21,8.5,18.0,12.0,RR
