striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
PWH de Silva,neutralish,PP,2,4,90,41,2,45.0,219.51,RCB
V Kohli,neutralish,PP,2,2,90,48,0,,187.5,RR
TM Head,pace,Middle,1,3,90,61,1,90.0,147.54,
Aniket Verma,neutralish,Middle,2,5,90,54,2,45.0,166.67,RR
RR Rossouw,pace,Middle,1,4,90,58,3,30.0,155.17,SRH
VR Iyer,neutralish,Death,2,6,90,40,2,45.0,225.0,SRH
N Sindhu,pace,Death,1,5,89,56,2,44.5,158.93,DC
KA Pollard,pace,Death,2,3,89,38,1,89.0,234.21,CSK
S Dube,spin,Death,1,5,89,41,3,29.67,217.07,RR
Rahul Singh,pace,PP,2,4,89,60,1,89.0,148.33,RCB
Atharva Taide,pace,Middle,2,4,89,73,3,29.67,121.92,MI
RA Jadeja,spin,Death,1,5,89,50,4,22.25,178.0,SRH
Ishaan Gadekar,spin,PP,2,6,89,83,2,44.5,107.23,SRH
P Simran Singh,neutralish,Middle,2,4,89,57,2,44.5,156.14,SRH
Smaran Ravichandran,pace,PP,2,6,89,64,1,89.0,139.06,PBKS
N Rana,pace,PP,1,8,88,49,3,29.33,179.59,PBKS
GJ Maxwell,pace,Death,2,4,88,40,1,88.0,220.0,DC
AB de Villiers,spin,Death,1,6,88,38,3,29.33,231.58,RR
Tilak Varma,pace,Middle,2,5,87,63,4,21.75,138.1,CSK
PWH de Silva,neutralish,Middle,2,3,87,55,0,,158.18,RCB
MJ Owen,pace,Middle,1,5,87,56,2,43.5,155.36,DC
JP Inglis,pace,Death,1,5,86,36,3,28.67,238.89,GT
CH Gayle,spin,Middle,2,6,86,65,5,17.2,132.31,CSK
Dhruv Jurel,pace,Middle,1,4,86,63,2,43.0,136.51,KKR
Shubman Gill,neutralish,PP,2,3,86,42,0,,204.76,LSG
C Green,spin,Death,2,3,86,35,1,86.0,245.71,KKR
JM Sharma,neutralish,Death,2,3,86,37,1,86.0,232.43,RCB
BJ McMullen,spin,Middle,1,6,86,68,4,21.5,126.47,RR
MR Marsh,spin,PP,2,3,86,42,1,86.0,204.76,SRH
S Dube,neutralish,PP,1,5,85,38,2,42.5,223.68,RR
GJ Maxwell,spin,PP,2,5,85,54,3,28.33,157.41,DC
VR Iyer,spin,Death,1,7,85,48,4,21.25,177.08,SRH
Naman Dhir,spin,PP,2,6,85,46,2,42.5,184.78,GT
RG Sharma,spin,Death,2,6,84,44,5,16.8,190.91,KKR
S Dube,spin,PP,1,4,84,65,1,84.0,129.23,RR
JC Buttler,pace,Death,1,4,84,34,3,28.0,247.06,LSG
